S No,Symptoms
796,ankle bruise
797,ankle deformity
798,ankle discoloration
799,ANKLE EDEMA
800,ankle flare
801,ankle injury
802,ankle joint pain
803,ankle muscle cramp
804,ankle numbness
805,ankle oedema
806,ankle pale skin
807,ankle redness
808,ankle spasticity
809,Ankle sprain
810,ankle stiffness
811,ankle swelling
812,ankle tenderness
813,ankle tightness
814,ankle tingling
815,ankle ulcer
816,ANKYLOBLEPHARON
817,ANKYLOGOSSIA
818,ANKYLOSING SPONDILITIS
819,Annular brown plaques
820,annular dry plaques
821,Annular erythema of infancy
822,annular keratotic lesions with a raised margin
823,Annular lesions  are especially common on the penis
824,annular lichen  planus
825,"annular or  circinate lesions, and induration with a raised margin"
826,Annular or ring-shaped scotoma
827,ANNULAR PANCREAS
828,annular plaques
829,annular polycyclic lesions
830,ano-genital pruritus
831,ano-genital psoriasis
832,"ano-genital wart is soft, pink, elongated  and sometimes filiform or pedunculated"
833,Ano-genital warts
834,Anophthalmia and microphthalmia
835,anorectal absess
836,ano-rectal adenocarcinoma
837,anorectal anomalies
838,Anorectal bleeding
839,anorectal disorders
840,ano-rectal malignancy
841,Anorectal pain
842,Anorectal stenosis
843,Anorectal ulceration
844,anorexia
845,Anorexia nervosa
846,Anorexia nervosa and bulimia
847,anorgasmia
848,anoscopy
849,anosmia
850,Anoxia
851,Ant. Lenticonus
852,Antacid
853,antenatal prophylaxis
854,antenatal visit
855,antepartum haemorrhage
856,anterior and posterior fontanels are open widely
857,ANTERIOR BOWING OF THE TIBIA AND FEMUR
858,Anterior chamber angle is open
859,Anterior chamber becomes deep
860,anterior chamber cells and flare
861,Anterior chamber is collapsed
862,Anterior chamber is deep
863,Anterior chamber is deeper than normal
864,Anterior chamber is slightly deeper than normal
865,Anterior chamber may or may not show pus (hypopyon)
866,Anterior chamber may reveal faint aqueous flare
867,Anterior chamber shows hypopyon
868,ANTERIOR DISLOCATION OF THE HIP
869,anterior displacement of lens
870,anterior fontanel is wide open and bulging
871,anterior fontanelle depressed
872,anterior surface of the eye protrudes outward
873,ANTERIOR UVEITIS (IRIDOCYCLITIS)
874,anterior uveitis and vitritis
875,Anterior vitreous condensation
876,anterograde amnesia
877,Anthrax
878,Anthrax dermatology
879,ANTHRAX POISONING
880,antibacterial
881,Antibiotic associated colitis
882,Antibiotics
883,Anticholinesterase
884,Anticoagulant
885,antidiuretic effect
886,Antiglomerular Basement Membrane Disease
887,Antiglomerular basement membrane vasculitis diseas
888,Antiglomerular basement membrane vasculitis disease
889,Antihydrotic
890,Anti-inflammatory activity
891,antimongoloid palpebral fissures
892,antimongoloid slant of the palpebral fissures
893,antimuscarinic effects
894,Antineoplastic
895,Antinuclear antibodie
896,Anti-p200 pemphigoid
897,antiphospholipid antibody syndrome
898,antiphospholipid antibody/lupus anticoagulant syndrome
899,ANTIPHOSPHOLIPID SYNDROME
900,antiplatelet therapy
901,Antipruritic
902,antiserotonin action
903,Antiviral drug booster
904,"Anton syndrome, i.e., denial of blindness by the patients who obviously cannot see"
905,ANTROCHOANAL POLYP
906,anuria
907,anxiety
908,anxiety disorders
909,"Any body site may be affected, but it has a predilection for the lower limbs and trunk. The oral mucosa may also  be affected"
910,Aortic Aneurysm / Rupture
911,Aortic Aneurysm / Rupture
912,aortic aneurysms
913,Aortic arch syndrome
914,Aortic Dissection
915,aortic or mitral stenosis
916,aortic regurgitation
917,aortic regurgitation/mitral regurgitation
918,aortic root dilatation
919,aortic stenosis
920,aortopulmonary window
921,apathy
922,apex beat shifted down and out
923,apex impulse displaced inferiorly and laterally
924,Aphakia
925,Aphakic or Pseudophakic Glaucoma
926,Aphallia
927,aphasia
928,Aphonia
929,Aphthous stomatitis
930,APHTHOUS ULCER
931,aphthous ulceration
932,Aphthous ulcers
933,apiastic anaemia
934,apical beat may be difficult to palpate
935,apical blowing murmur of mitral insufficiency
936,apical diastolic rumble rarely audible at apex
937,apical impulse is prominent
938,apical impulse palpable
939,APICAL SUBUNGUAL INFECTION
940,Apical systolic murmur
941,aplasia or hypoplastic carotid arteries
942,Aplasia/Hypoplasia of the nipples
943,aplastic anaemia
944,Apnea
945,apnea associated with cyanosis
946,Apnea of prematurity
947,apnoea
948,Apocrine carcinoma
949,Apocrine miliaria
950,"Apocrine sweat may be tinged with a yellow, green or blue hue  in up to 10% of the population."
951,Apocrine tubular adenoma
952,Apoptosis
953,Apparent mineralocorticoid excess syndrome
954,"appearance of  the herald patch, which is larger and more conspicuous than the  lesions of the later eruption and is usually situated on the thigh or  upper arm, trunk or neck."
955,appearance of hazy white patches in the periphery of the retina
956,Appearance of nodules or growth on the surface of cornea
957,appearance of orange patches in the pigment epithelium due to accumulation of the lipofuscin
958,"appearance varies from a few dull grey, broken-off  hairs with a little scaling"
959,appendicitis
960,appetite
961,apple core sign
962,Application site reaction
963,apraxia
964,Aprosexia
965,Apthous Stomatis
966,Aqueous cells in anterior chamber
967,Aqueous flare
968,Aquired cutis laxa
969,aquired epidermolysis bullosa
970,arachnoid cyst
971,arachnoiditis
972,arching
973,Arcus Senilis
974,Areflexia
975,Arflexia
976,Argininemea
977,Argininosuccinate lyase deficiency/Argininosuccini
978,Argininosuccinate lyase deficiency/Argininosuccini
979,Argininosuccinic aciduria (ARGINSA)/Argininosuccin
980,Argininosuccinic aciduria (ARGINSA); Argininosucci
981,"Argininosuccinic aciduria (ARGINSA);, Argininosuccinate lyase deficiency"
982,Argyria
983,arm weakness
984,Aromatase excess syndrome
985,Aromatic L-amino acid decarboxylase (AADC) deficie
986,"Around half of patients develop a transient, non-specifi c, maculopapular rash, which is often seen at  times of high fever"
987,around umblicus radiate to Rt iliac fossa
988,Arrhythmias
989,Arrhythmias secondary to hypokalaemia
990,Artefactual alopecia
991,Arterial disease and peripheral disorders
992,Arterial disease and peripheral ischaemic disorder
993,Arterial disease and peripheral ischaemic disorders
994,Arterial leg ulcer
995,Arterial spasm
996,ARTERIAL STENOSIS AND OCCLUSION
997,Arterial thromboembolism
998,arterial thrombosis
999,arterio venous malformation
1000,"Arteriolar pulsations may be seen over the nail bed, uvula, lips, ear lobes and in the eye grounds"
1001,arteriosclerosis
1002,Arteriovenous fistula and congenital vascular abnormalities
1003,Arteriovenous malformation
1004,Arteriovenous nicking
1005,Arteritic anterior ischaemic optic neuropathy
1006,Arteritis
1007,arthralgia
1008,"Arthralgia, myalgia, arthritis"
1009,arthritis
1010,Arthropathy
1011,arytenoid fixation
1012,As a control response in skin testing for hypersensitivity.
1013,as a disinfectant
1014,As a general anesthetic
1015,as a solvent
1016,As adjunctive treatment with interleukin-2 to patients with acute myeloid leukaentia.
1017,As an adjunct in balanced anaesthesia
1018,As an antiseptic
1019,as are apalpable parasternal lift
1020,"As the disease progresses, jaundice, purpura, anaemia  and leukopenia occur. In 50% of patients, extranodal extension  of the disease is seen, most commonly affecting the skin, bone  and gastrointesti"
1021,"As the epiphysis of the  long bones fuse early under premature oestrogen effects,  there is an eventual stunting of the height"
1022,"As the liquor amnii diminishes, the  uterus feels “full of fetus”— a feature usually associated with postmaturity"
1023,"As the tumours grow, the oedema  may increase and older lesions may ulcerate"
1024,Asbestosis
1025,Ascariasis
1026,ASCENDING CHOLANGITIS
1027,ascending paralysis
1028,Ascher  syndrome
1029,Ascher syndrome
1030,ascites
1031,ASEPTIC MENINGITIS
1032,aseptic pustules
1033,Asherman syndrome
1034,Ashy dermatosis and erythema  dyschromicum perstan
1035,Aspartic acid deficiency
1036,aspergilloma
1037,Aspergillosis
1038,asphixia
1039,Asphyxiating Thoracic Dystrophy
1040,asphyxiation
1041,Aspiration
1042,Aspiration of gastric contents
1043,aspiration pneumonia
1044,Associated Endometrial Carcinoma
1045,Asteatotic eczema
1046,asterexis
1047,Asterixis
1048,asthenia
1049,Asthenopia (tiredness of eyes relieved by closing the eyes)
1050,"Asthenopic symptoms(tiredness of eyes, frontal or frontotemporal headache, watering and mild photophobia)"
1051,Asthma
1052,ASTHMA IN PREGNANCY
1053,Asthma like symptoms
1054,Astringent
1055,asymmetric blood pressures
1056,asymmetric enlargement of one or a few peripheral nerves
1057,Asymmetric periflexural exanthem of childhood
1058,ASYMMETRICAL WEAKNESS(START DISTALLY)
1059,asymmetry of the feet
1060,"Asymmetry,irregular borders with Diameter (greater than 6 mm (0.24 in)"
1061,Asymptomatic
1062,asymptomatic blue or skin-coloured subcutaneous or deeper mass
1063,asymptomatic elevations in unconjugated bilirubin
1064,"asymptomatic hypopigmented macules  in exposed areas, especially on the dorsa of the hands. Frequently,  the individual will associate this with work exposure to chemicals."
1065,asymptomatic in its early phases
1066,Asymptomatic microscopic hematuria
1067,Asymptomatic palpable liver with classical thrill
1068,"asymptomatic solitary papule or nodule.  Lesions are usually less than 3  cm and have a wide anatomical  distribution with a predilection for the trunk, head and neck and  genital skin"
1069,"asymptomatic solitary skin-coloured papule or nodule, sometimes with cystic appearance"
1070,"asymptomatic subcutaneous mass, predominantly over bony prominences that may extend to deeper  soft tissues and to the overlying dermis"
1071,Asymptomatic ventricular pauses
1072,"Asymptomatic, erythematous,  brown macules/papules/nodules develop on the cheeks and  spread to the forehead, earlobes and neck"
1073,asystole
1074,"At the age of  2–6 months, usually large thick dark brown to yellow-brown  hyperkeratoses develop covering the trunk, the extremities and  the neck"
1075,"At the site of primary inoculation, one or more papules or  subcutaneous nodules develop into friable ulcers or hypertrophic lesions"
1076,"at the site of the bite is mild  oedema, vesiculation or bullae formation"
1077,Ataxia
1078,Ataxia telangiectasia
1079,ATAXIA-TELANGIECTASIA
1080,ataxic gait
1081,Atelectasis
1082,ATHEROMATOUS
1083,Atherosclerosis
1084,athetoid posturing
1085,athetosis
1086,athetosis
1087,Athlete's foot
1088,Atlantoaxial instability
1089,atonia
1090,Atonic Seizures
1091,Atopic cataract
1092,Atopic dermatitis
1093,Atopic eczema
1094,Atopic eruption of pregnancy
1095,atopic keratoconjunctivitis
1096,Atopic scarring (“cigarette-paper” scars)
1097,Atopy and atopic eye disease
1098,ATRESIA OF EXTERNAL CANAL
1099,atrial fibrillation
1100,Atrial fibrillation and flutter
1101,atrial flutter
1102,ATRIAL MYXOMA
1103,atrial septal defect
1104,ATRIAL SEPTAL DEFECTS
1105,atrial tachycardia
1106,Atrial tachycardia with block
1107,atrioventricular block
1108,Atrioventricular block (AV block)
1109,Atrophic bulbi
1110,Atrophic changes
1111,"Atrophic changes in the mucous  membranes of the upper respiratory tract lead to nasal crusting and dryness, recurrent episodes of infection, hoarseness and/ or aphonia."
1112,Atrophic glossitis
1113,atrophic macular scar (macular histospot)
1114,atrophic or cellophane maculopathy
1115,ATROPHIC PHARYNGITIS
1116,atrophic rhinitis
1117,atrophic scarring
1118,atrophic scars
1119,"atrophic spots scattered in the mid-retinal periphery roundish, yellowish white lesions measuring 0.2 to 0.7 disc diameter in size."
1120,atrophic thyroiditis
1121,atrophic turbinates
1122,Atrophie blanche
1123,atrophy
1124,atrophy in the upper extremities
1125,Atrophy of retinal nerve fibre layer
1126,Atrophy of the  endometrial tissue
1127,Atrophy of the breasts
1128,atrophy of the iris
1129,"Attempted hip movements painful, and associated with severe spasm"
1130,Attention-deficit/hyperactivity disorder (ADHD)
1131,Atypical  necrobiosis of the face and scalp margins’
1132,Atypical Absence Seizures
1133,Atypical adenomatous hyperplasia
1134,atypical carcinoid
1135,atypical chest pain
1136,atypical choroid plexus papilloma (who grade 2)
1137,Atypical depression
1138,Atypical diabetic ketoacidosis
1139,"Atypical FH presents as a papule, nodule or plaque, usually less  than 1.5 cm in diameter. The rate of local recurrence is around 14%"
1140,Atypical fi broxanthoma
1141,Atypical genital naevi
1142,"Atypical hyperplasia: Simple, Complex"
1143,Atypical hypertension
1144,Atypical lipomatous tumour/ Well differentiated li
1145,Atypical papilloma
1146,atypical teratoid/rhabdoid tumour (who grade 4)
1147,Atypical trigeminal trophic syndrome
1148,"atypical ulceration of the legs, digital skin necrosis and cold urticaria"
1149,Atypical vascular proliferation after radiotherapy
1150,audible breath sounds
1151,Audible Bruit
1152,Auditory (cochlear) toxicity
1153,Auditory disturbance
1154,Auditory hallucination
1155,Auscultation of the lesion should detect a machinery murmur
1156,Auspitz sign
1157,Auspitz sign: removal of the thinned suprapapillary epidermis by gentle scraping reveals vascular bleeding points.
1158,Autism spectrum disorder.
1159,autistic-like behaviors
1160,Auto immune effect
1161,autoantibody screen
1162,autoimmune adrenalitis
1163,autoimmune cholangiopathy
1164,autoimmune disease
1165,auto-immune disorders
1166,Autoimmune Enteropathy
1167,autoimmune haemolysis
1168,autoimmune haemolytic anaemia
1169,Auto-immune hemolytic anemia
1170,AUTOIMMUNE HEPATITIS
1171,Auto-immune hepatitis
1172,AUTOIMMUNE HYPOTHYROIDISM
1173,autoimmune liver disease
1174,AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME (ALPS)
1175,autoimmune polyendocrine syndrome
1176,AUTOIMMUNE POLYGLANDULAR SYNDROME
1177,Autoimmune Progesterone Dermatitis
1178,Autoinflammatory Diseases Presenting in the Skin
1179,Autoinflammatory syndromes presenting with urticarial  rash
1180,Autoinflammatory syndromes with pustulosis
1181,automatism
1182,autonomic arousal
1183,autonomic dysfunction
1184,Autonomic neuropathy
1185,Autonomic testing
1186,Autophagy
1187,autosomal dominant familial partial lipodystrophy
1188,Autosomal dominant polycystic kidney disease
1189,Autosomal recessive congenital ichthyosis
1190,autosomal recessive polycystic kidney disease
1191,AV block
1192,AV conducttion abnormalities
1193,AV dissociation
1194,AV junctional tachycardia
1195,avascular necrosis of bone
1196,AVPR presents a few years or months after radiotherapy for breast  cancer
